nodeid,first,last
tests/test_machine.py::test_imas_reader_dispatches_rectangle,not_run,unobserved
tests/test_machine.py::test_reader_seam_is_interchangeable,not_run,unobserved
tests/test_machine.py::test_registry_reader_preserves_missing_evidence_state,not_run,unobserved
tests/test_machine.py::test_registry_reader_selects_geometry_and_exposes_evidence,not_run,unobserved
tests/test_machine.py::test_resistivity_is_per_coil_not_broadcast,not_run,unobserved
tests/test_machine.py::test_resistivity_reaches_a_single_inserted_coil,not_run,unobserved
tests/test_machine.py::test_tabular_annulus_matches_imas_normalisation,not_run,unobserved
tests/test_machine.py::test_tabular_reader_reports_missing_attribute,not_run,unobserved
tests/test_machine.py::test_wall_boundary_reports_an_absent_source,not_run,unobserved
tests/test_machine_artifact.py::test_diiid_artifact_reference_is_a_ghcr_reference,not_run,unobserved
tests/test_machine_artifact.py::test_imas_netcdf_inventory_has_repeatable_content_identity,not_run,unobserved
tests/test_machine_artifact.py::test_machine_name_parameterizes_manifest_and_oci_identity,not_run,unobserved
tests/test_machine_artifact.py::test_machine_name_rejects_noncanonical_registry_names[ DIII-D],not_run,unobserved
tests/test_machine_artifact.py::test_machine_name_rejects_noncanonical_registry_names[],not_run,unobserved
tests/test_machine_artifact.py::test_machine_name_rejects_noncanonical_registry_names[diii--d],not_run,unobserved
tests/test_machine_artifact.py::test_machine_name_rejects_noncanonical_registry_names[diii_d],not_run,unobserved
tests/test_machine_artifact.py::test_publication_resolves_latest_dictionary_and_refuses_prior_major,not_run,unobserved
tests/test_machine_artifact_concurrency.py::test_every_other_hdf5_byte_remains_verified,not_run,unobserved
tests/test_machine_artifact_concurrency.py::test_four_scoring_partitions_share_one_verified_artifact,not_run,unobserved
tests/test_machine_artifact_concurrency.py::test_manifest_identity_canonicalizes_only_hdf5_consistency_flags,not_run,unobserved
tests/test_machine_artifact_concurrency.py::test_verified_artifact_survives_repeated_concurrent_opens,not_run,unobserved
tests/test_map_extraction.py::test_axis_and_stationary_label_regions_inflate_uncertainty,not_run,unobserved
tests/test_map_extraction.py::test_delta_star_receipt_marks_the_centred_stencil_only,not_run,unobserved
tests/test_map_extraction.py::test_prescribed_profiles_round_trip_and_vacuum_receipt_passes,not_run,unobserved
tests/test_map_extraction.py::test_synthetic_chords_return_normalised_flux,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_absent_on_one_side_is_not_counted_as_holding,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_at_unity_is_not_promoted,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_recorded_at_two_settings_yields_two_blocks,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_that_only_scatters_yields_one_block,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_the_second_route_disagrees_on_is_withheld,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_channel_whose_halves_disagree_is_withheld,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_ratio_that_is_not_a_positive_number_is_refused,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_steady_channel_two_routes_agree_on_is_promoted,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_step_every_channel_takes_together_is_not_per_channel,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_step_most_channels_hold_through_is_per_channel,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_step_off_the_ladder_is_reported_as_off_it,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_stepping_channel_is_never_a_promotion_candidate,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_a_stepping_channel_refuses_to_report_one_scale,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_an_infinite_span_serializes_as_a_null,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_the_ladder_rungs_are_recognised_and_the_distance_reported,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_the_record_carries_the_ladder_the_control_and_both_classes,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_too_few_shots_is_neither_steady_nor_stepping,not_run,unobserved
tests/test_mast_acquisition_scale.py::test_two_blocks_at_the_same_scale_are_coalesced,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_boundary_invented_on_a_steady_channel_is_a_failure_not_a_near_miss,not_run,unobserved
tests/test_mast_array_amplitude.py::test_a_boundary_the_array_route_misses_is_a_disagreement,not_run,unobserved
